"Name","Date"
".\Bugs\Open\ComputerGoesDown2_0.brd","2009/06/28 14:27:06"
".\Bugs\Open\ComputerGoesDown2_1.brd","2010/06/24 21:22:54"
".\Bugs\Open\ComputerGoesDown2_2.brd","2010/10/16 17:28:02"
".\Bugs\Open\ComputerGoesDown2_HumanMakes2Over.brd","2008/07/28 16:59:38"
".\Bugs\Open\ComputerGoesDown3.brd","2009/06/14 13:39:06"
".\Bugs\Open\ComputerGoesDown3At1NTContract.brd","2009/08/21 20:42:12"
".\Bugs\Open\ComputerGoesDown3OnMakeable.brd","2010/09/02 14:57:56"
".\Bugs\Open\ComputerGoesDown3WithMakeableContract.brd","2010/03/13 16:02:46"
".\Bugs\Open\ComputerGoesDown3WithMakeableContract1.brd","2010/03/29 21:18:14"
".\Bugs\Open\ComputerGoesDown3WithMakeableContract2.brd","2010/07/31 20:19:46"
".\Bugs\Open\ComputerGoesDown4.brd","2010/04/06 12:42:18"
".\Bugs\Open\ComputerGoesDown4Tricks.brd","2010/06/17 13:05:38"
".\Bugs\Open\ComputerGoesDown4vs1.brd","2010/12/09 20:57:42"
".\Bugs\Open\ComputerGoesDown4WithMakeableContract.brd","2010/01/29 17:35:30"
".\Bugs\Open\ComputerGoesDown4_1.brd","2010/09/04 11:32:32"
".\Bugs\Open\ComputerGoesDown4_2.brd","2010/12/08 14:44:54"
".\Bugs\Open\ComputerGoesDown5OnMakeableContract.brd","2009/12/26 13:10:22"
".\Bugs\Open\ComputerGoesDown5WithThis.brd","2010/11/05 11:56:38"
".\Bugs\Open\ComputerGoesDownButAutoHintMakesIt.brd","2010/11/25 17:33:04"
".\Bugs\Open\ComputerGoesDownFourWithMakeable.brd","2010/11/17 10:54:12"
".\Bugs\Open\ComputerGoesDownIn6C.brd","2010/08/13 18:05:00"
".\Bugs\Open\ComputerGoesDownOn4NT.brd","2010/11/23 14:19:50"
".\Bugs\Open\ComputerGoesDownOn6NT_Rotated_NCR-416.brd","2010/11/23 19:47:30"
".\Bugs\Open\ComputerGoesDownOn6NT_UnstopsClubs.brd","2010/11/23 14:32:54"
".\Bugs\Open\ComputerGoesDownOnEasyContract.brd","2010/06/04 16:13:46"
".\Bugs\Open\ComputerGoesDownOneIn3NT.brd","2010/02/05 13:43:36"
".\Bugs\Open\ComputerGoesDownOnHandMaking2OT.brd","2009/11/29 19:30:08"
".\Bugs\Open\ComputerGoesDownOnMakeable.brd","2010/06/20 14:23:38"
".\Bugs\Open\ComputerGoesDownOnMakeable1.brd","2010/06/20 14:26:06"
".\Bugs\Open\ComputerGoesDownOnMakeable2NT.brd","2010/07/13 20:47:56"
".\Bugs\Open\ComputerGoesDownOnMakeable3NT.brd","2010/07/12 21:10:22"
".\Bugs\Open\ComputerGoesDownOnMakeable6H.brd","2010/07/10 21:24:40"
".\Bugs\Open\ComputerGoesDownOnMakeable6NT.brd","2010/08/09 17:01:58"
".\Bugs\Open\ComputerGoesDownOnMakeableContract.brd","2010/02/05 11:23:04"
".\Bugs\Open\ComputerGoesDownOnMakeableSlam.brd","2010/03/27 17:32:20"
".\Bugs\Open\ComputerGoesDownTwoOnMakeableContract.brd","2010/04/04 20:37:22"
".\Bugs\Open\ComputerGoesDownWith3NT.brd","2010/09/20 21:13:08"
".\Bugs\Open\ComputerGoesDownWith3NT_1.brd","2010/10/03 11:20:12"
".\Bugs\Open\ComputerGoesDownWith6NTContract.brd","2010/04/14 15:11:26"
".\Bugs\Open\ComputerGoesDownWith6NTContract1.brd","2010/09/01 10:48:56"
".\Bugs\Open\ComputerGoesDownWith6NTContract2.brd","2010/11/23 14:16:36"
".\Bugs\Open\ComputerGoesDownWith7NTContract.brd","2010/09/01 15:02:42"
".\Bugs\Open\ComputerGoesDownWithMakeable.brd","2010/09/19 14:55:38"
".\Bugs\Open\ComputerGoesDownWithMakeable3NT.brd","2009/12/16 11:39:24"
".\Bugs\Open\ComputerGoesDownWithMakeable6NTContract.brd","2010/04/07 18:14:50"
".\Bugs\Open\ComputerGoesDownWithMakeable6NTContract_a.brd","2010/04/07 18:16:44"
".\Bugs\Open\ComputerGoesDownWithMakeableContract.brd","2010/01/12 09:03:18"
".\Bugs\Open\ComputerGoesDownWithMakeableContract1.brd","2010/11/04 20:07:20"
".\Bugs\Open\ComputerGoesDownWithMakeableContract2.brd","2010/10/17 14:50:36"
".\Bugs\Open\ComputerGoesDownWithMakeableContract_1.brd","2010/11/14 08:52:30"
".\Bugs\Open\ComputerGoesDownWithMakeableHand.brd","2010/03/05 17:31:10"
".\Bugs\Open\ComputerGoesDownWithMakeableNT.brd","2010/07/08 20:36:44"
".\Bugs\Open\ComputerGoesDownWithMakeableNT_2.brd","2010/07/08 20:39:44"
".\Bugs\Open\ComputerGoesDownWithNTContract.brd","2010/11/04 19:59:06"
".\Bugs\Open\ComputerGoesDownWithNTContract1.brd","2010/11/05 12:02:16"
".\Bugs\Open\ComputerGoesDown_NormMakes1Overtrick.brd","2009/08/30 16:14:36"
".\Bugs\Open\ComputerMisplaysThisHand.brd","2010/12/05 11:45:50"
".\Bugs\Open\ComputerMustCrossRuffToMakeIt.brd","2010/12/07 19:53:10"
".\Bugs\Open\ComputerSet0nMakeableNTContract.brd","2010/01/13 20:23:56"
".\Bugs\Open\ComputerSet4Tricks.brd","2009/05/30 09:55:10"
".\Bugs\Open\ComputerSet4TricksInMakeableContract.brd","2010/01/09 11:57:08"
".\Bugs\Open\ComputerSet5tricksvs2.brd","2009/06/01 21:44:18"
".\Bugs\Open\ComputerShouldMake3NT.brd","2010/12/16 20:10:14"
".\Bugs\Open\ComputerShouldMake6Clubs.brd","2010/11/25 16:46:56"
".\Bugs\Open\ComputerShouldMakeThis.brd","2010/12/16 15:31:34"
".\Bugs\Open\ComputerShouldOnlyGoDown1.brd","2009/05/31 21:47:58"
".\Bugs\Open\ComputerShouldSetupLongClubs.brd","2010/07/16 10:54:38"
".\Bugs\Open\ComputerThinksSJisOut.brd","2010/06/06 17:35:12"
".\Bugs\Open\ComputerWentDown3.brd","2010/07/18 12:23:54"
".\Bugs\Open\ComputerWentDown3_Making6.brd","2010/07/18 12:53:10"
".\Bugs\Open\ComputerWentDown3_ShouldLeadDiamonds_NCR-317.brd","2010/07/18 13:01:12"
".\Bugs\Open\ComputerWentDown6.brd","2010/12/13 19:48:42"
".\Bugs\Open\ComputerWentDownOnMakeableContract.brd","2010/08/21 13:53:08"
".\Bugs\Open\ConfusionOnOvercall_NCR-287_2.brd","2010/04/14 10:03:56"
".\Bugs\Open\ConvenientMinorBidLogicProblem.brd","2009/12/31 11:30:52"
".\Bugs\Open\CouldNorthBid6CardSuitAgain.brd","2010/06/19 13:03:12"
".\Bugs\Open\CouldNorthBidGrandSlamWithThis.brd","2009/08/23 18:06:28"
".\Bugs\Open\CouldNorthBidNTWithThis.brd","2010/01/17 19:47:10"
".\Bugs\Open\CouldNorthUseStayman.brd","2009/12/25 10:58:36"
".\Bugs\Open\DeclarerAllowsSouthToRuff.brd","2010/09/06 15:13:42"
".\Bugs\Open\DeclarerAndDummyBothRuffTrick.brd","2009/05/06 21:36:52"
".\Bugs\Open\DeclarerCanCashOutWithRestOfTricks_NCR-444.brd","2010/12/08 15:09:30"
".\Bugs\Open\DeclarerCanMake7TricksOffTheTop.brd","2010/09/04 10:18:20"
".\Bugs\Open\DeclarerCanMakeThis.brd","2010/09/02 17:52:48"
".\Bugs\Open\DeclarerDoesNotDrawTrumpFirst.brd","2010/11/06 10:13:34"
".\Bugs\Open\DeclarereDoesNotDrawTrump.brd","2009/05/29 10:50:20"
".\Bugs\Open\DeclarerFailsToDrawTrumps.brd","2010/11/16 20:03:48"
".\Bugs\Open\DeclarerFailsToSetupDiamonds.brd","2010/02/11 19:53:38"
".\Bugs\Open\DeclarerLeadsToRuffBeforeDrawingTrump.brd","2009/06/06 21:47:32"
".\Bugs\Open\DeclarerMisplays3NTContract.brd","2009/10/07 17:54:48"
".\Bugs\Open\DeclarerMustTakeSpadeFinesseOnLead.brd","2010/12/20 20:32:38"
".\Bugs\Open\DeclarerShouldCrossToDummy.brd","2010/11/05 12:43:06"
".\Bugs\Open\DeclarerShouldDrawTrumpsFirst.brd","2010/11/26 12:23:46"
".\Bugs\Open\DeclarerShouldDrawTrumpsFirst_1.brd","2010/12/22 20:08:54"
".\Bugs\Open\DeclarerShouldDrawTrumpsThenSetupDiamonds.brd","2010/02/07 17:50:12"
".\Bugs\Open\DeclarerShouldNotFinesseHeartLead.brd","2010/09/03 18:03:16"
".\Bugs\Open\DeclarerShouldNotFinesseS8.brd","2010/09/26 10:42:38"
".\Bugs\Open\DeclarerShouldNotFinesse_NCR-414.brd","2010/11/25 20:10:30"
".\Bugs\Open\DeclarerShouldPlayHeartsThenDrawTrumps.brd","2010/11/28 20:14:32"
".\Bugs\Open\DidSouthReverseHere.brd","2010/01/28 20:30:54"
".\Bugs\Open\Discarded SA with no usable plays found for the sit.brd","2009/07/09 16:23:12"
".\Bugs\Open\disparity me vs computer made.brd","2009/08/12 09:51:16"
".\Bugs\Open\DmyLeadsDiamondStopper.brd","2010/01/31 20:22:08"
".\Bugs\Open\DmyShouldFinesseCT.brd","2010/02/19 20:02:06"
".\Bugs\Open\DoesNorthOverbidThis.brd","2010/12/09 15:31:44"
".\Bugs\Open\DoesNUnderstandSouth3HPreempt.brd","2009/12/31 12:01:34"
".\Bugs\Open\Dont play K on opponents A.brd","2009/07/03 12:06:40"
".\Bugs\Open\DuckFinesseToSaveKing.brd","2009/04/23 12:03:12"
".\Bugs\Open\Dummy-WestShouldLeadClubToPromote2Tricks.brd","2009/09/11 20:33:10"
".\Bugs\Open\DummyCanWinWithTenAsNorthIsVoid.brd","2009/10/31 15:16:08"
".\Bugs\Open\DummyDidNotCoverSouthsQueen.brd","2010/02/04 20:47:06"
".\Bugs\Open\DummyDiscardsOnlyEntry_NCR-202.brd","2010/01/17 20:27:14"
".\Bugs\Open\DummyGivesSouthCheapTrick.brd","2010/07/08 11:22:24"
".\Bugs\Open\DummyLeadLosingSpade.brd","2010/02/19 18:27:44"
".\Bugs\Open\DummyLeadsAwayFromAK.brd","2009/11/25 19:48:50"
".\Bugs\Open\DummyLeadsAwayFromHKJvsEastTowards.brd","2009/09/13 17:44:26"
".\Bugs\Open\DummyLeadsSA_TakesSouthsSJ.brd","2010/10/21 19:31:20"
".\Bugs\Open\DummyLedLosingHeart.brd","2010/04/12 21:19:56"
".\Bugs\Open\DummyLedLosingHeart2.brd","2010/04/12 21:49:56"
".\Bugs\Open\DummyMustTakeTheTrick.brd","2010/12/14 16:20:02"
".\Bugs\Open\DummyOverTakesWestsKing.brd","2010/05/29 18:41:32"
".\Bugs\Open\DummyPlaysDQonTrickWithDK_NCR-100.brd","2009/10/03 21:08:22"
".\Bugs\Open\DummyShouldCoverTheHJbrd.brd","2010/04/15 17:08:24"
".\Bugs\Open\DummyShouldLeadLowDiamond.brd","2010/12/13 09:18:54"
".\Bugs\Open\DummyShouldNotFinesse.brd","2010/11/08 15:59:54"
".\Bugs\Open\DummyShouldNotRuff_NCR-445.brd","2010/12/09 20:42:06"
".\Bugs\Open\DummyShouldPlayHJ.brd","2010/11/08 15:53:04"
".\Bugs\Open\DummyShouldPlayHQ.brd","2010/10/19 20:32:44"
".\Bugs\Open\DummyShouldPlayKfromDoubleton.brd","2009/09/12 12:49:00"
".\Bugs\Open\DummyShouldUnblockClubsWithCKbrd.brd","2009/10/17 11:45:20"
".\Bugs\Open\E declarer plays A with Dummy singleton K.brd","2009/06/30 16:48:14"
".\Bugs\Open\E leads Hearts again after they are being trumped.brd","2009/07/04 10:57:30"
".\Bugs\Open\E-W-ShouldPlayTrumpsBeforeRunningSpades.brd","2010/01/23 16:31:26"
".\Bugs\Open\E-Wbid5DwithoutStrength.brd","2009/06/27 17:14:22"
".\Bugs\Open\E-WBiddingNeedsWork.brd","2010/03/01 17:51:22"
".\Bugs\Open\E-WbidGameWithoutEnoughPoints.brd","2009/06/30 21:01:48"
".\Bugs\Open\E-WBidNorthsSuit.brd","2010/12/16 12:14:24"
".\Bugs\Open\E-WCashTrumps.brd","2009/06/25 20:38:06"
".\Bugs\Open\E-WDoNOTdrawTrumps.brd","2009/06/02 10:43:46"
".\Bugs\Open\E-WDoNOTdrawTrumps2.brd","2009/06/08 12:54:00"
".\Bugs\Open\E-WDoNotPlayClubsCorrectly.brd","2010/03/13 16:07:38"
".\Bugs\Open\E-WFailToDrawTrumps.brd","2010/02/19 12:08:04"
".\Bugs\Open\E-WFailToDrawTrumps1.brd","2010/11/27 13:20:28"
".\Bugs\Open\E-WFailToMakeMakeableContract.brd","2009/10/29 16:40:58"
".\Bugs\Open\E-WGoDownThreeAt4S.brd","2010/02/19 16:42:32"
".\Bugs\Open\E-WgoDownWithMakeable1NTcontract.brd","2009/06/28 18:15:42"
".\Bugs\Open\E-WGoesDownOnMakeableContract.brd","2010/09/02 17:28:16"
".\Bugs\Open\E-WMessUpBadlyHere.brd","2010/08/05 22:01:44"
".\Bugs\Open\E-WMessupNTContract.brd","2009/12/29 17:52:14"
".\Bugs\Open\E-WMisbidThis.brd","2010/12/16 15:26:30"
".\Bugs\Open\E-WMisqueInBidding.brd","2009/06/30 12:04:50"
".\Bugs\Open\E-WMissBiddingGame.brd","2009/12/19 08:23:26"
".\Bugs\Open\E-WOverbidHand.brd","2010/11/17 11:15:20"
".\Bugs\Open\E-WOverbidThis_NCR-453.brd","2010/12/14 17:14:14"
".\Bugs\Open\E-WplayContractPoorly.brd","2009/06/30 21:26:04"
".\Bugs\Open\E-WplayHAandHQonSameTrick.brd","2009/06/20 22:02:24"
".\Bugs\Open\E-WSet2Tricks.brd","2010/02/19 13:34:10"
".\Bugs\Open\E-WShouldBeInHearts.brd","2010/08/01 18:41:44"
".\Bugs\Open\E-WShouldBidGame.brd","2009/12/30 14:27:30"
".\Bugs\Open\E-WShouldBidGameInSpades.brd","2009/09/26 20:45:36"
".\Bugs\Open\E-WShouldBidGame_NCR-90.brd","2009/09/28 20:34:04"
".\Bugs\Open\E-WShouldBidSlameHere.brd","2010/07/25 09:13:34"
".\Bugs\Open\E-WShouldDrawTrumpsBeforeCashing.brd","2010/01/31 09:25:26"
".\Bugs\Open\E-WShouldDrawTrumpsBeforingCashingHK.brd","2010/02/07 15:07:44"
".\Bugs\Open\E-WShouldMakeContract.brd","2009/09/12 11:13:02"
".\Bugs\Open\E-WShouldMakeThis3NTContract.brd","2009/12/30 17:28:40"
".\Bugs\Open\E-WShouldNotBeInClubs.brd","2010/11/25 16:42:24"
".\Bugs\Open\E-WShouldPromoteClubs.brd","2010/04/02 17:09:00"
".\Bugs\Open\E-W_BiddingProblem_NCR-151.brd","2009/11/08 19:42:10"
".\Bugs\Open\E-W_BiddingProblem_NCR-273.brd","2010/04/06 12:50:36"
".\Bugs\Open\E-W_BidTooHighWith19HCP.brd","2009/06/14 15:19:26"
".\Bugs\Open\E-W_GoDownOneWithMakeableContract.brd","2010/03/31 20:54:10"
".\Bugs\Open\E-W_GoDownWithMakeable6NT.brd","2010/09/20 14:40:04"
".\Bugs\Open\E-W_GoDownWithMakeableContract_NCR-283.brd","2010/04/12 16:25:34"
".\Bugs\Open\E-W_MakeSlam_HowToBid.brd","2010/02/18 20:48:58"
".\Bugs\Open\E-w_MessUpBiddingThis.brd","2010/05/17 21:07:18"
".\Bugs\Open\E-W_MissContractByNOTdrawingTrumps.brd","2009/07/06 21:40:44"
".\Bugs\Open\E-W_NeedToTryForDropOfSJbrd.brd","2009/07/23 18:02:56"
".\Bugs\Open\E-W_OverbidThis.brd","2010/12/22 15:01:32"
".\Bugs\Open\E-W_PlaysCKonClubLead.brd","2009/06/11 22:06:06"
".\Bugs\Open\E-W_ProblemWithUnusual2NT.brd","2010/11/29 13:38:56"
".\Bugs\Open\E-W_ShouldNotBeInNorthsSuit.brd","2010/11/28 20:00:24"
".\Bugs\Open\E-W_ShouldSlam.brd","2010/01/22 11:27:18"
".\Bugs\Open\E-W_UnderbidWith2OpeningHands.brd","2009/07/23 17:55:46"
".\Bugs\Open\East-DummyUnstopsClubsVsPromotingDiamonds.brd","2009/10/15 12:49:30"
".\Bugs\Open\East-WestGetConfusedWithBlackwood.brd","2009/10/06 15:19:32"
".\Bugs\Open\East-WestMakeSlam_HowToBid.brd","2009/12/22 09:10:24"
".\Bugs\Open\East-WestShouldBeInHearts.brd","2010/09/13 19:10:50"
".\Bugs\Open\East-WestShouldBidSlam.brd","2010/10/28 16:35:12"
".\Bugs\Open\EastAnaylsisAboutDropIncludesCardInDummy.brd","2009/08/28 10:18:52"
".\Bugs\Open\EastBid3CardSuit.brd","2010/07/05 21:24:30"
".\Bugs\Open\EastBid3COverSouth2C.brd","2009/09/15 16:16:40"
".\Bugs\Open\EastBid5DwithoutClearAgreement_NCR-216.brd","2010/02/10 13:28:56"
".\Bugs\Open\EastBid7HwithSingleton.brd","2010/12/18 10:08:12"
".\Bugs\Open\EastBidNTwithoutClubStopper.brd","2010/07/26 15:16:00"
".\Bugs\Open\EastBids1SpadeWithOnly3Spades.brd","2010/07/08 14:58:32"
".\Bugs\Open\EastBids2NTwithoutDiamondsStopped.brd","2009/08/25 13:40:40"
".\Bugs\Open\EastBids3CardHeartSuit.brd","2010/11/23 11:43:32"
".\Bugs\Open\EastBids3Dwith8HCPsandJackHigh.brd","2009/08/22 21:01:58"
".\Bugs\Open\EastBids3NTwith8HCPs.brd","2010/02/09 15:22:34"
".\Bugs\Open\EastBids3NTwithoutHeartStopper.brd","2009/08/18 17:35:34"
".\Bugs\Open\EastBids3NTWithoutSpadeStopper.brd","2010/07/05 21:50:34"
".\Bugs\Open\EastBids3SpadesWithOnly4Cards.brd","2009/08/25 21:04:02"
".\Bugs\Open\EastBids4CwithOnly1Club.brd","2009/06/22 09:27:34"
".\Bugs\Open\EastBids4SafterSouthOpened2S_NCR-263.brd","2010/03/28 19:51:16"
".\Bugs\Open\EastBids5Dwith4Losers.brd","2009/06/29 12:38:52"
".\Bugs\Open\EastBids5DwithoutPardsSupport_NCR-250.brd","2010/03/13 17:56:56"
".\Bugs\Open\EastBids5HwhenVoidInHearts.brd","2010/03/09 15:36:26"
".\Bugs\Open\EastBids6Cwith7HCPs_NCR-247.brd","2010/03/12 15:13:06"
".\Bugs\Open\EastBidsHeartsTwiceWith4cards.brd","2010/11/21 11:38:22"
".\Bugs\Open\EastBidsSlamWithoutAces.brd","2010/11/16 20:07:24"
".\Bugs\Open\EastBidsSlamWithoutPtsOrAces_NCR-237.brd","2010/03/05 20:15:20"
".\Bugs\Open\EastBlocksWestsClubs.brd","2009/10/11 12:57:56"
".\Bugs\Open\EastCashesAcesBehindDummysKings.brd","2009/07/26 21:52:02"
".\Bugs\Open\EastCashesDiamondStopper.brd","2009/10/25 17:03:52"
".\Bugs\Open\EastCashesSpadeStopper.brd","2009/07/30 15:44:12"
".\Bugs\Open\EastCashesSpadeStopperInsteadOfUnblockingClubs_NCR-83.brd","2009/09/07 21:07:42"
".\Bugs\Open\EastContinuedBlackWoodWithout4Aces.brd","2010/03/28 15:15:26"
".\Bugs\Open\EastCouldBid4Spades.brd","2010/05/30 16:16:38"
".\Bugs\Open\EastCouldBidGameVsInvitingIt.brd","2010/02/01 10:30:42"
".\Bugs\Open\EastCouldDoubleSouthsHeartContract.brd","2009/09/13 11:45:50"
".\Bugs\Open\EastCouldFinesseVsForcingDK.brd","2009/08/01 11:33:38"
".\Bugs\Open\EastCouldHaveBid4H.brd","2010/02/16 17:53:46"
".\Bugs\Open\EastCouldHaveFinessedCJ_NCR-190.brd","2010/01/09 10:04:22"
".\Bugs\Open\EastCouldHavePassed3NT.brd","2010/01/31 15:21:02"
".\Bugs\Open\EastCouldPlaySAandThenRuffSpades.brd","2009/09/02 10:34:20"
".\Bugs\Open\EastCouldTry2Hearts.brd","2009/10/26 18:21:14"
".\Bugs\Open\EastDiscardDiamondsVsHearts.brd","2009/09/05 13:09:22"
".\Bugs\Open\EastDiscardsDAwhenRHDummyHasDK.brd","2009/06/16 22:24:06"
".\Bugs\Open\EastDiscardsDiamondStopper.brd","2009/09/19 16:25:46"
".\Bugs\Open\EastDiscardsDQonPartnersDJ.brd","2008/05/25 10:38:42"
".\Bugs\Open\EastDiscardsGuardForCK.brd","2010/02/28 19:42:10"
".\Bugs\Open\EastDiscardsGuardForDiamondTen.brd","2009/09/14 18:29:06"
".\Bugs\Open\EastDiscardsGuardForDiamondTen_2.brd","2009/09/14 18:31:38"
".\Bugs\Open\EastDiscardsGuardForDQ__AlsoDifferentPlays.brd","2009/05/29 21:48:58"
".\Bugs\Open\EastDiscardsGuardForHeartQueen.brd","2009/12/31 14:28:26"
".\Bugs\Open\EastDiscardsGuardForHJ.brd","2009/08/29 18:46:14"
".\Bugs\Open\EastDiscardsGuardsForHJ.pbn","2009/07/14 16:23:18"
".\Bugs\Open\EastDiscardsH6vsHT.brd","2009/06/26 21:32:34"
".\Bugs\Open\EastDiscardsHKvsD3.brd","2009/06/26 16:33:12"
".\Bugs\Open\EastDiscardsHQunguardingHKwith5losingClubs.brd","2009/08/03 11:38:54"
".\Bugs\Open\EastDiscardsInsteadOfTrumpingD9.brd","2009/04/30 20:29:16"
".\Bugs\Open\EastDiscardsQandK.brd","2009/05/02 19:22:40"
".\Bugs\Open\EastDiscardsS8_GuardForDummysS6.brd","2009/06/19 21:08:18"
".\Bugs\Open\EastDiscardsSingletonHQvsLowClub.brd","2009/08/27 22:20:46"
".\Bugs\Open\EastDiscardsSQonPartnersSJ.brd","2009/08/02 21:29:54"
".\Bugs\Open\EastDiscardsSQvsLowClub.brd","2009/08/22 10:33:40"
".\Bugs\Open\EastDiscardsTopCardVsLowest.brd","2009/06/18 14:27:14"
".\Bugs\Open\EastDiscardsWinnersandKeepsCardswithNoEntries.brd","2009/06/07 10:55:56"
".\Bugs\Open\EastDiscardsWinningClub.brd","2009/10/11 16:36:20"
".\Bugs\Open\EastDiscardsWInningJack.brd","2009/11/25 17:44:14"
